Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value
Fisetin,Site2,With_Water,0.000175396
Fisetin,Site2,With_Water,0.02370051
Fisetin,Site2,With_Water,0.038726743
Fisetin,Site2,With_Water,0.191507
Fisetin,Site2,Without_Water,0
Fisetin,Site2,Without_Water,0.054920737
Fisetin,Site2,Without_Water,0.024509015
Fisetin,Site2,Without_Water,0.20197053
Hypericin,Site1,With_Water,0
Hypericin,Site1,With_Water,0.000677626
Hypericin,Site1,With_Water,0.071194366
Hypericin,Site1,With_Water,0.008659507
Hypericin,Site1,Without_Water,0
Hypericin,Site1,Without_Water,0.04564455
Hypericin,Site1,Without_Water,0.002644544
Hypericin,Site1,Without_Water,0.050321843
Hypericin,Site2,With_Water,0
Hypericin,Site2,With_Water,0.06799075
Hypericin,Site2,With_Water,0.041677684
Hypericin,Site2,With_Water,0.04769334
Hypericin,Site2,Without_Water,0.00018794
Hypericin,Site2,Without_Water,0.001953125
Hypericin,Site2,Without_Water,0.04602332
Hypericin,Site2,Without_Water,0.00370198
Ritonavir,Site1,With_Water,0
Ritonavir,Site1,With_Water,0.5128611
Ritonavir,Site1,With_Water,0.4431233
Ritonavir,Site1,With_Water,0.18339053
Ritonavir,Site1,Without_Water,0
Ritonavir,Site1,Without_Water,0.059511967
Ritonavir,Site1,Without_Water,0.6297686
Ritonavir,Site1,Without_Water,0.31138754
Ritonavir,Site2,With_Water,0
Ritonavir,Site2,With_Water,0.5393948
Ritonavir,Site2,With_Water,0.44136968
Ritonavir,Site2,With_Water,0.5264262
Ritonavir,Site2,Without_Water,0
Ritonavir,Site2,Without_Water,0.3680457
Ritonavir,Site2,Without_Water,0.29433462
Ritonavir,Site2,Without_Water,0.3051259
Rutin,Site1,With_Water,0
Rutin,Site1,With_Water,0.13749266
Rutin,Site1,With_Water,0.45518237
Rutin,Site1,With_Water,0.22719325
Rutin,Site1,Without_Water,0
Rutin,Site1,Without_Water,0.27302498
Rutin,Site1,Without_Water,0.005486304
Rutin,Site1,Without_Water,0.4276048
Rutin,Site2,With_Water,0
Rutin,Site2,With_Water,0.3557026
