Ligand_Name,Site_Number,With_Or_Without_Water,RMSD Value
Chrysin,Site1,With_Water,0.000150687
Chrysin,Site1,With_Water,0.114487216
Chrysin,Site1,With_Water,0.039742786
Chrysin,Site1,With_Water,0.039371397
Chrysin,Site1,Without_Water,0
Chrysin,Site1,Without_Water,0.034282506
Chrysin,Site1,Without_Water,0.032363318
Chrysin,Site1,Without_Water,0.05233457
Chrysin,Site2,With_Water,0
Chrysin,Site2,With_Water,0.045364756
Chrysin,Site2,With_Water,0.042867698
Chrysin,Site2,With_Water,0.035182077
Chrysin,Site2,Without_Water,0
Chrysin,Site2,Without_Water,0.011546981
Chrysin,Site2,Without_Water,0.048294377
Chrysin,Site2,Without_Water,0.107986145
Chrysin,Site3d,With_Water,0
Chrysin,Site3d,With_Water,0.10791063
Chrysin,Site3d,With_Water,0.109731495
Chrysin,Site3d,With_Water,0.11137696
Chrysin,Site3d,Without_Water,0
Chrysin,Site3d,Without_Water,0.045637477
Chrysin,Site3d,Without_Water,0.042243417
Chrysin,Site3d,Without_Water,0.049954683
Chrysin,Site3m,With_Water,0
Chrysin,Site3m,With_Water,0.024870181
Chrysin,Site3m,With_Water,0.030895585
Chrysin,Site3m,With_Water,0.040274855
Chrysin,Site3m,Without_Water,0
Chrysin,Site3m,Without_Water,0.032833144
Chrysin,Site3m,Without_Water,0.042630002
Chrysin,Site3m,Without_Water,0.004278021
Curcumin,Site1,With_Water,0
Curcumin,Site1,With_Water,0.19117512
Curcumin,Site1,With_Water,0.22344744
Curcumin,Site1,With_Water,0.17118204
Curcumin,Site1,Without_Water,0
Curcumin,Site1,Without_Water,0.22894917
Curcumin,Site1,Without_Water,0.058891855
Curcumin,Site1,Without_Water,0.20791285
Curcumin,Site2,With_Water,0
Curcumin,Site2,With_Water,0.14076185
Curcumin,Site2,With_Water,0.20598686
Curcumin,Site2,With_Water,0.2046627
Curcumin,Site2,Without_Water,0
Curcumin,Site2,Without_Water,0.17122419
Curcumin,Site2,Without_Water,0.071211755
Curcumin,Site2,Without_Water,0.17117482
Curcumin,Site3d,With_Water,0
Curcumin,Site3d,With_Water,0.090196274
Curcumin,Site3d,With_Water,0.1546189
Curcumin,Site3d,With_Water,0.2593725
Curcumin,Site3d,Without_Water,0
Curcumin,Site3d,Without_Water,0.26822734
Curcumin,Site3d,Without_Water,0.18834792
Curcumin,Site3d,Without_Water,0.19390921
Curcumin,Site3m,With_Water,0
Curcumin,Site3m,With_Water,0.23224396
Curcumin,Site3m,With_Water,0.16288972
Curcumin,Site3m,With_Water,0.059942607
Curcumin,Site3m,Without_Water,0
Curcumin,Site3m,Without_Water,0.11281203
Curcumin,Site3m,Without_Water,0.18560961
Curcumin,Site3m,Without_Water,0.19728829
Fisetin,Site1,With_Water,0.000195313
Fisetin,Site1,With_Water,0.051588017
Fisetin,Site1,With_Water,0.44590357
Fisetin,Site1,With_Water,0.44209355
Fisetin,Site1,Without_Water,0
Fisetin,Site1,Without_Water,0.041893963
Fisetin,Site1,Without_Water,0.45116472
Fisetin,Site1,Without_Water,0.45030802
Fisetin,Site2,With_Water,0
Fisetin,Site2,With_Water,0.029849604
Fisetin,Site2,With_Water,0.44589442
